quarter,NCN_sales_cons,NCN_sales_est,Order_book,GDP_households,GDP_government,GDP_fixed_capital,GDP_export,GDP_import,Unemployment_rate,Employment_rate,Gross_monthly_wage,CPI,PPI,Current_account_balance,Current_account_balance_GDP,FDI_balance,General_gov_net,General_gov_budget_balance,General_gov_invest,Conf_industrial,Conf_retail,Conf_service,Conf_consumer,Econ_sent_ind,Ind_BSI,Serv_BSI,Retail_volume_idx,Industrial_volume_idx,New_car_reg,Apt_sales,Building_permit_dwellings,Building_permit_nonres,Productivity_per_employee,Productivity_per_hour_worked,Enterprises_total_profit,Enterprises_invest_build,Loans_granted_to_nonfin_co,M1
2003-Q4,,,46494,1917,886,1089,1816,1964,9.1,57.7,455,0.16,0.49,-351.3,-15.3,-87.6,-76.9,-3.3,170.6,12,16.2,26.2,-3,108.8,47.1,31.3,67.5,60.4,3894,5393,131.8,194.9,4.3,1.1,406920,192888,1490.4,2269
2004-Q1,,,52520,1827,679,857,1393,1608,10.3,56.5,431,0.7,0.96,-348.1,-15.1,-127.7,128.5,5.6,50.7,10.3,20.3,23.9,-6.1,107.1,51.2,30.8,58.2,57.5,3920,4389,139.2,145,3.1,4.8,355768,153388,1620.2,2269
2004-Q2,,,52506,1944,840,1065,2030,2264,10.2,56.9,474,2.47,1.28,-389.8,-16.3,-117.8,-6.5,-0.3,87.7,14.2,26.5,25.9,-7.8,109.1,43.3,29.8,68.9,64.3,5062,4980,503,378.7,3.6,-0.4,443906,172245,1737.3,2482.8
2004-Q3,,,55196,1945,661,1124,2283,2139,10.5,56.6,449,0.62,1.26,-53.7,-2.2,-53.5,149.3,6,109.3,12.1,20.2,17.2,-5,107.1,43.7,36.7,71.7,64.2,3735,4894,153.4,217.6,4.4,11.2,460135,178632,1879.1,2542.2
2004-Q4,,,51902,2136,913,1129,2289,2341,9.5,56.7,492,0.74,0.23,-374.1,-14.5,-255.6,-37.2,-1.4,181.5,8.7,19,9.3,-2.2,103.9,40.7,36.5,75.5,67.2,3797,5552,148,116.3,3.2,-2.4,383585,179336,2085.9,2700.9
2005-Q1,20282,18702,64403,1961,699,942,1987,1999,9.6,56.7,475,0.69,0.52,-208,-8.2,-854.4,-16.2,-0.6,59.4,12.7,19.6,16.9,-1.4,107.9,42.3,35.9,67,63.5,4363,5117,88.8,213.6,-1.5,-0.3,402813,156287,2328.8,2750.6
2005-Q2,23662,22122,76905,2120,811,1175,2388,2393,8.4,58.2,530,1.43,-0.18,-209.6,-7.4,-845.7,126.4,4.4,108.1,12.5,21.4,27.5,-0.7,110.4,44.3,34.8,78.1,73.3,5843,6793,315.5,317.2,9.4,7.8,580104,197917,2567,3239
2005-Q3,36787,34660,102218,2154,702,1349,2528,2538,7,58.5,498,1.38,0.72,-245.3,-8.4,-175.8,137.2,4.7,135.5,14.5,24.7,23.2,1.9,111.4,34.5,28.5,82.7,70.9,4828,8016,251.3,206.1,1.7,5.4,611521,255296,2967.7,3301.8
2005-Q4,26286,24577,78761,2390,972,1354,2683,2816,7.1,59.1,555,0.44,0.96,-321.6,-10.5,157.9,-119.8,-3.9,222.7,17.9,25.7,27.9,6.7,115.3,35.3,25.4,86.5,75.4,4609,8605,263.1,239.6,3.7,2,598326,306242,3379.7,3682.7
2006-Q1,21845,20840,113503,2234,752,1216,2296,2555,6.6,60.6,549,1.08,1.63,-482.3,-16,-182,28.1,0.9,84.9,14.6,27.5,28,9.6,114.5,34.6,23.2,78.1,70.4,5230,6970,217.7,201.8,-2.3,-1.4,568766,229217,3720.8,3821.2
